,CO2_MaunaLoa,TCC,PR,AT,SST,SIE,SIT,Albedo
1980m1,338.13,52.02279447,1.692835331,5.533797903,0.274031008,6.633207144,1.946782326,0.297447608
1980m2,337.85,52.37555723,1.664269785,5.679064598,0.194426357,6.860845109,1.916084035,0.296210027
1980m3,338.51,52.75791241,1.690050999,5.285631624,0.199,6.788485903,1.922506256,0.297560408
1980m4,338.31,51.42197705,1.649688018,4.950228588,0.129547619,6.899257346,1.917091177,0.290177032
1980m5,338.4,49.71588795,1.635967376,5.592765533,0.079642857,6.657839078,1.990266196,0.289055604
1980m6,338.85,50.54547258,1.639778566,5.70412529,0.066285714,6.667691454,2.112642063,0.29262534
1980m7,338.56,48.59187831,1.672085074,5.576770355,0.036404762,6.99750873,2.155048284,0.291424146
1980m8,339.07,50.51549914,1.727081986,5.304871913,-0.006238095,7.181702279,2.151929237,0.290289303
1980m9,339.38,48.96070443,1.680676108,4.481310455,-1.11022E-16,7.67,2.079233333,0.289094545
1980m10,339.4,49.4391058,1.66808476,4.940255373,-0.058238095,7.28131211,2.07797148,0.289377758
1980m11,339.46,49.97276451,1.820563472,4.191654818,-0.022761905,6.927901587,1.987269841,0.289286211
1980m12,339.26,51.29091021,1.727349128,4.612499586,0.050238095,6.916640904,1.89110128,0.290298151
1981m1,339.42,52.40427946,1.637980209,6.066065833,0.063031008,6.683207144,1.8298791,0.288375674
1981m2,339.97,51.89469306,1.685763669,5.915474378,0.070426357,6.500845109,1.81604832,0.284734827
1981m3,340.09,49.54884186,1.738589312,5.949132066,0.157,6.378485903,1.808377224,0.285959632
1981m4,340,52.51892065,1.692556659,5.745004579,0.134547619,6.479257346,1.799157844,0.286874311
1981m5,339.98,51.18028587,1.682973172,5.464377508,0.117642857,6.667839078,1.842104906,0.289746099
1981m6,340.05,50.06571993,1.764836519,5.892815736,0.123285714,6.897691454,1.870342063,0.290781054
1981m7,339.92,51.18421646,1.710416758,5.539917665,0.043404762,7.16750873,1.843274091,0.289205333
1981m8,339.87,50.62697505,1.731842485,5.810510223,-0.036238095,7.041702279,1.789993753,0.289298975
1981m9,340.16,49.55593372,1.693654215,5.130815278,0.053,7.14,1.719533333,0.286831632
1981m10,340.39,49.20422935,1.687209036,5.09990086,0.094761905,6.96131211,1.742068254,0.289300168
1981m11,340.74,49.62108572,1.723934366,5.505547233,0.086238095,6.477901587,1.741103174,0.288850752
1981m12,340.85,49.76661502,1.669300187,5.706361786,0.135238095,6.666640904,1.643359345,0.294225166
