index,Y_sp,Y_nas,Y_vix,Y_dj,VIX_Index,vix_1m,vix_2m,vix_3m,vix_4m,vix_5m,vix_6m,vix_7m,vix_slope,1m,3m,6m,1y,2y,3y,5y,7y,10y,20y,30y,Full_Slope,SP500-1-return,SP500-2-return,SP500-3-return,SP500-4-return,SP500-5-return,SP500-6-return,SP500-7-return,SP500-8-return,SP500-9-return,SP500-10-return,VIX_Index-1-return,VIX_Index-2-return,VIX_Index-3-return,VIX_Index-4-return,VIX_Index-5-return,VIX_Index-6-return,VIX_Index-7-return,VIX_Index-8-return,VIX_Index-9-return,VIX_Index-10-return,NAS100-1-return,NAS100-2-return,NAS100-3-return,NAS100-4-return,NAS100-5-return,NAS100-6-return,NAS100-7-return,NAS100-8-return,NAS100-9-return,NAS100-10-return,DJIA30-1-return,DJIA30-2-return,DJIA30-3-return,DJIA30-4-return,DJIA30-5-return,DJIA30-6-return,DJIA30-7-return,DJIA30-8-return,DJIA30-9-return,DJIA30-10-return
2013-01-02,0.025086116,0.03164078,-0.204996234,0.023262637,14.68000031,15.6,16.72,18.06,18.84,19.55,20.44,21.43,0.031009364,0.07,0.08,0.12,0.15,0.27,0.37,0.76,1.25,1.86,2.63,3.04,0.00029929,0.025086116,0.041886143,0.030774698,0.029555513,0.024756556,0.022313277,0.012890332,0.018363437,0.010745292,0.022166477,-0.204996234,-0.43675952,-0.28238874,-0.282902231,-0.194957092,-0.194957092,-0.185382247,-0.1676827,-0.058859922,-0.107130055,0.03164078,0.052361787,0.04221537,0.040606302,0.03272365,0.030236247,0.019456396,0.020407288,0.0150704,0.030390091,0.023262637,0.036013574,0.023860343,0.022465482,0.020611266,0.016668184,0.007545992,0.012044621,0.004602532,0.013296545
2013-01-03,-0.002087795,-0.005187331,-0.008207972,-0.001581072,14.56000042,15.9,16.92,18.12,18.92,19.61,20.4,21.39,0.030291127,0.06,0.08,0.12,0.15,0.27,0.4,0.81,1.31,1.92,2.7,3.12,0.000307368,-0.002087795,0.022998321,0.039798348,0.028686902,0.027467717,0.02266876,0.020225481,0.010802537,0.016275642,0.008657496,-0.008207972,-0.213204206,-0.444967492,-0.290596713,-0.291110203,-0.203165064,-0.203165064,-0.193590219,-0.175890673,-0.067067895,-0.005187331,0.026453449,0.047174456,0.037028039,0.035418971,0.02753632,0.025048916,0.014269065,0.015219957,0.009883069,-0.001581072,0.021681565,0.034432502,0.022279271,0.02088441,0.019030194,0.015087112,0.005964919,0.010463549,0.00302146
2013-01-04,0.0048533,-0.002847858,-0.051437931,0.003269121,13.82999992,15.3,16.67,18.02,18.73,19.53,20.24,21.11,0.032102318,0.06,0.07,0.11,0.15,0.27,0.41,0.82,1.32,1.93,2.7,3.1,0.000306307,0.0048533,0.002765505,0.027851621,0.044651648,0.033540202,0.032321017,0.02752206,0.025078781,0.015655837,0.021128942,-0.051437931,-0.059645904,-0.264642137,-0.496405423,-0.342034644,-0.342548135,-0.254602996,-0.254602996,-0.24502815,-0.227328604,-0.002847858,-0.008035189,0.023605591,0.044326598,0.034180181,0.032571113,0.024688461,0.022201058,0.011421207,0.012372099,0.003269121,0.001688049,0.024950686,0.037701623,0.025548392,0.024153531,0.022299315,0.018356232,0.00923404,0.01373267
2013-01-07,-0.003128003,-9.91E-05,-0.002896451,-0.003797236,13.78999996,14.75,16.42,17.95,18.79,19.59,20.34,21.17,0.033958876,0.05,0.07,0.11,0.15,0.27,0.41,0.82,1.31,1.92,2.7,3.1,0.000306438,-0.003128003,0.001725297,-0.000362499,0.024723617,0.041523645,0.030412199,0.029193014,0.024394057,0.021950778,0.012527834,-0.002896451,-0.054334383,-0.062542355,-0.267538589,-0.499301875,-0.344931095,-0.345444586,-0.257499447,-0.257499447,-0.247924602,-9.91E-05,-0.002946971,-0.008134302,0.023506478,0.044227485,0.034081068,0.032471999,0.024589348,0.022101945,0.011322094,-0.003797236,-0.000528115,-0.002109187,0.02115345,0.033904387,0.021751156,0.020356295,0.018502079,0.014558997,0.005436804
2013-01-08,-0.003247639,-0.002020967,-0.012404397,-0.004150804,13.61999989,14.65,16.43,17.87,18.67,19.41,20.17,21.14,0.034077111,0.06,0.07,0.11,0.14,0.25,0.38,0.79,1.28,1.89,2.66,3.06,0.000302811,-0.003247639,-0.006375642,-0.001522342,-0.003610138,0.021475978,0.038276005,0.02716456,0.025945375,0.021146418,0.018703139,-0.012404397,-0.015300848,-0.066738779,-0.074946752,-0.279942985,-0.511706271,-0.357335492,-0.357848982,-0.269903843,-0.269903843,-0.002020967,-0.002120081,-0.004967939,-0.01015527,0.02148551,0.042206517,0.0320601,0.030451032,0.022568381,0.020080977,-0.004150804,-0.00794804,-0.00467892,-0.006259992,0.017002646,0.029753583,0.017600351,0.016205491,0.014351274,0.010408192
2013-01-09,0.002652345,0.003279226,0.013853705,0.0046154,13.81000042,14.7,16.37,17.94,18.58,19.44,20.04,20.88,0.032614747,0.04,0.06,0.09,0.13,0.24,0.37,0.77,1.27,1.88,2.65,3.06,0.000303961,0.002652345,-0.000595294,-0.003723297,0.001130003,-0.000957793,0.024128323,0.040928351,0.029816905,0.02859772,0.023798763,0.013853705,0.001449309,-0.001447142,-0.052885074,-0.061093046,-0.26608928,-0.497852566,-0.343481786,-0.343995277,-0.256050138,0.003279226,0.001258259,0.001159146,-0.001688712,-0.006876043,0.024764737,0.045485744,0.035339327,0.033730258,0.025847607,0.0046154,0.000464596,-0.00333264,-6.35E-05,-0.001644592,0.021618046,0.034368983,0.022215751,0.020820891,0.018966674
2013-01-10,0.0075687,0.006041884,-0.023444345,0.006009308,13.48999977,14.2,16.08,17.74,18.38,19,19.89,20.59,0.03299303,0.05,0.06,0.1,0.14,0.26,0.37,0.8,1.3,1.91,2.68,3.08,0.000305605,0.0075687,0.010221045,0.006973406,0.003845403,0.008698703,0.006610908,0.031697024,0.048497051,0.037385605,0.03616642,-0.023444345,-0.009590639,-0.021995036,-0.024891487,-0.076329418,-0.084537391,-0.289533624,-0.52129691,-0.366926131,-0.367439621,0.006041884,0.00932111,0.007300143,0.007201029,0.004353171,-0.00083416,0.03080662,0.051527627,0.04138121,0.039772142,0.006009308,0.010624708,0.006473904,0.002676668,0.005945789,0.004364716,0.027627354,0.040378291,0.028225059,0.026830199
2013-01-11,-4.75E-05,0.001485707,-0.009683511,0.00127672,13.35999966,14.14,15.98,17.64,18.33,19.07,19.68,20.48,0.032858782,0.04,0.07,0.1,0.14,0.26,0.37,0.78,1.28,1.89,2.65,3.05,0.000302405,-4.75E-05,0.007521185,0.01017353,0.006925891,0.003797888,0.008651188,0.006563392,0.031649508,0.048449536,0.03733809,-0.009683511,-0.033127855,-0.01927415,-0.031678547,-0.034574998,-0.086012929,-0.094220902,-0.299217135,-0.530980421,-0.376609642,0.001485707,0.007527591,0.010806817,0.00878585,0.008686737,0.005838879,0.000651548,0.032292328,0.053013335,0.042866917,0.00127672,0.007286028,0.011901428,0.007750624,0.003953388,0.007222509,0.005641437,0.028904074,0.041655011,0.029501779
2013-01-14,-0.000931105,-0.004580661,0.011904962,0.001399526,13.52000046,14.09,15.94,17.33,18.19,18.78,19.54,20.28,0.031999165,0.05,0.08,0.11,0.14,0.26,0.37,0.78,1.27,1.89,2.65,3.05,0.000301797,-0.000931105,-0.00097862,0.00659008,0.009242425,0.005994786,0.002866783,0.007720083,0.005632288,0.030718404,0.047518431,0.011904962,0.002221451,-0.021222893,-0.007369188,-0.019773585,-0.022670036,-0.074107967,-0.08231594,-0.287312173,-0.519075459,-0.004580661,-0.003094954,0.00294693,0.006226156,0.004205189,0.004106076,0.001258218,-0.003929113,0.027711667,0.048432674,0.001399526,0.002676246,0.008685554,0.013300954,0.00915015,0.005352914,0.008622035,0.007040963,0.0303036,0.043054537
2013-01-15,0.001128033,-0.004660465,0.002216457,0.002038986,13.55000019,14.2,15.76,17.24,18.15,18.88,19.53,20.28,0.032006404,0.09,0.09,0.11,0.14,0.26,0.36,0.75,1.24,1.86,2.62,3.02,0.000297655,0.001128033,0.000196928,0.000149413,0.007718113,0.010370459,0.00712282,0.003994816,0.008848116,0.006760321,0.031846437,0.002216457,0.014121419,0.004437908,-0.019006436,-0.005152731,-0.017557128,-0.020453579,-0.07189151,-0.080099483,-0.285095716,-0.004660465,-0.009241126,-0.007755419,-0.001713535,0.001565691,-0.000455276,-0.000554389,-0.003402247,-0.008589578,0.023051202,0.002038986,0.003438512,0.004715232,0.01072454,0.01533994,0.011189136,0.0073919,0.010661021,0.009079949,0.032342586
